Brand Name,Generic Name,Number of Manufacturers,Total Spending,Total Dosage Units,Total Claims,Total Beneficiaries,Average Spending Per Dosage Unit (Weighted),Average Spending Per Claim,Average Spending Per Beneficiary
Novolin 70-30 ,Insulin NPh Hum/Reg Insulin Hm ,2,"$153,828,619.20","15,795,224","558,318","110,444",$10.25,$275.52,"$1,392.82"
Novolin N ,Insulin NPh Human Isophane ,2,"$78,589,860.53","8,368,277","350,562","75,950",$9.86,$224.18,"$1,034.76"
Novolin R ,"Insulin Regular, Human ",2,"$62,866,830.71","5,903,946","364,237","91,881",$11.69,$172.60,$684.22
Novolog ,Insulin Aspart ,1,"$579,747,933.55","23,176,987","1,230,313","283,933",$25.01,$471.22,"$2,041.85"
Novolog Flexpen ,Insulin Aspart ,1,"$1,163,647,228.50","36,664,821","1,886,285","486,475",$31.74,$616.90,"$2,392.00"
Novolog Mix 70-30 ,Insulin Aspart Prot/Insuln Asp ,1,"$152,737,804.61","5,958,954","233,946","47,253",$25.63,$652.88,"$3,232.34"
Novolog Mix 70-30 Flexpen ,Insulin Aspart Prot/Insuln Asp ,1,"$396,687,061.01","12,585,542","465,200","97,175",$31.52,$852.72,"$4,082.19"
Novopen Echo ,Insulin Admin. Supplies ,1,"$12,159.51",225,183,167,$54.04,$66.45,$72.81
Novotwist ,"Pen Needle, Diabetic ",1,"$2,791,780.13","6,364,162","51,677","19,676",$0.44,$54.02,$141.89
Noxafil ,Posaconazole ,1,"$56,805,051.08","1,486,674","10,358","2,620",$53.09,"$5,484.17","$21,681.32"
Nucynta ,Tapentadol HCl ,1,"$45,283,575.64","8,100,951","93,245","26,289",$5.46,$485.64,"$1,722.53"
Nucynta ER ,Tapentadol HCl ,1,"$59,915,880.21","5,944,258","104,207","24,630",$10.00,$574.97,"$2,432.64"
Nuedexta ,Dextromethorphan HBr/Quinidine ,1,"$200,379,705.76","16,290,575","478,481","50,402",$12.30,$418.78,"$3,975.63"
Nulojix ,Belatacept ,1,"$2,019,124.56","2,097",954,143,$962.75,"$2,116.48","$14,119.75"
Nulytely With Flavor Packs ,Sodium Chloride/NaHCO3/KCl/PEG ,1,"$73,522.35","11,686,009","2,659","2,489",$0.01,$27.65,$29.54
Nutropin Aq ,Somatropin ,1,"$188,669.37",352,124,35,$535.99,"$1,521.53","$5,390.55"
Nutropin Aq Nuspin ,Somatropin ,1,"$7,958,435.49","14,726","2,972",475,$528.82,"$2,677.80","$16,754.60"
Nuvaring ,Etonogestrel/Ethinyl Estradiol ,1,"$2,048,767.13","16,266","11,049","2,655",$125.95,$185.43,$771.66
Nuvessa ,Metronidazole ,1,"$14,313.41",420,70,56,$34.08,$204.48,$255.60
Nuvigil ,Armodafinil ,1,"$61,139,287.83","3,177,687","87,866","19,144",$19.40,$695.82,"$3,193.65"
Nyamyc ,Nystatin ,1,"$10,377,587.26","12,225,668","285,791","135,528",$0.85,$36.31,$76.57
Nystatin ,Nystatin ,19,"$56,927,342.79","265,349,601","2,308,620","1,203,811",$0.41,$24.66,$47.29
Nystatin-Triamcinolone ,Nystatin/Triamcin ,3,"$40,436,774.84","13,685,853","325,693","191,772",$2.96,$124.16,$210.86
Nystop ,Nystatin ,1,"$24,048,588.87","30,269,214","694,368","337,178",$0.79,$34.63,$71.32
Ob Complete ,"Iron,Carbonyl/Folic Acid/Mv-Mn ",1,"$6,290.26","3,890",84,36,$1.62,$74.88,$174.73
Ob Complete One ,PNV 85/Iron/Folic/DHA/Fish Oil ,1,"$9,834.47","2,310",61,16,$4.26,$161.22,$614.65
Ob Complete Petite ,Prenatal56/Iron/Folic Acid/DHA ,1,"$8,277.07","1,948",56,15,$4.25,$147.80,$551.80
Ocella ,Ethinyl Estradiol/Drospirenone ,1,"$291,694.33","211,215","5,238","1,050",$1.38,$55.69,$277.80
Octagam ,Immun Globg(IgG)/Malt/IgA Ov50 ,1,"$30,481,356.61","3,373,048","2,749",477,$10.23,"$11,088.16","$63,902.22"
Octreotide Acetate ,Octreotide Acetate ,5,"$6,026,885.89","507,071","11,347","2,652",$16.51,$531.14,"$2,272.58"
Ocuflox ,Ofloxacin ,1,"$29,057.19","1,711",316,280,$16.98,$91.95,$103.78
Ofev ,Nintedanib Esylate ,1,"$371,895,202.82","2,605,453","43,849","7,231",$142.74,"$8,481.27","$51,430.67"
Ofloxacin ,Ofloxacin ,7,"$20,700,903.71","5,676,822","927,508","692,210",$3.51,$22.32,$29.91
Ogestrel ,Norgestrel-Ethinyl Estradiol ,1,"$90,721.60","73,641","1,778",314,$1.23,$51.02,$288.92
Olanzapine ,Olanzapine ,12,"$82,307,240.18","111,633,812","3,221,290","403,328",$0.80,$25.55,$204.07
Olanzapine ODT ,Olanzapine ,12,"$26,316,431.55","6,343,918","183,484","33,033",$4.15,$143.43,$796.67
Olanzapine-Fluoxetine HCl ,Olanzapine/Fluoxetine HCl ,3,"$5,945,018.73","654,223","16,721","2,869",$9.17,$355.54,"$2,072.16"
Olopatadine HCl ,Olopatadine HCl ,5,"$35,275,567.71","3,498,512","308,050","135,420",$14.64,$114.51,$260.49
Olux ,Clobetasol Propionate ,1,"$118,283.50","15,900",145,80,$7.44,$815.75,"$1,478.54"
Olysio ,Simeprevir Sodium ,1,"$27,053,111.15","34,117","1,227",310,$792.95,"$22,048.18","$87,268.10"
Omeclamox-Pak ,Omeprazole/Clarith/Amoxicillin ,1,"$217,620.91","29,690",372,369,$7.33,$585.00,$589.76
Omega-3 Acid Ethyl Esters ,Omega-3 Acid Ethyl Esters ,4,"$247,990,750.36","200,108,316","1,410,210","316,954",$1.24,$175.85,$782.42
Omeprazole ,Omeprazole ,17,"$406,568,932.57","1,895,802,049","32,568,041","6,984,237",$0.22,$12.48,$58.21
Omeprazole-Sodium Bicarbonate ,Omeprazole/Sodium Bicarbonate ,2,"$69,533,081.43","1,572,316","28,104","8,579",$43.67,"$2,474.13","$8,105.03"
Omnaris ,Ciclesonide ,1,"$2,754,793.46","153,186","9,080","3,006",$17.98,$303.39,$916.43
Omnipred ,Prednisolone Acetate ,1,"$25,915.41","1,876",226,139,$13.81,$114.67,$186.44
Omnitrope ,Somatropin ,1,"$5,902,689.38","14,681","3,772",517,$422.05,"$1,564.87","$11,417.19"
Ondansetron HCl ,Ondansetron HCl ,24,"$39,787,346.04","80,406,633","2,304,657","1,175,078",$0.48,$17.26,$33.86
Ondansetron HCl ,Ondansetron HCl/PF ,11,"$398,081.51","586,474","23,190","10,551",$0.71,$17.17,$37.73
Ondansetron ODT ,Ondansetron ,7,"$32,088,093.43","42,620,700","1,525,380","963,847",$0.75,$21.04,$33.29
Onexton ,Clindamycin Phos/Benzoyl Perox ,1,"$207,287.51","23,154",434,266,$8.95,$477.62,$779.28
Onfi ,Clobazam ,1,"$92,843,212.58","5,660,008","81,285","8,897",$17.54,"$1,142.19","$10,435.34"
Onglyza ,Saxagliptin HCl ,1,"$255,730,978.80","21,505,952","493,752","95,807",$11.89,$517.93,"$2,669.23"
Onmel ,Itraconazole ,1,"$527,502.27","15,270",420,229,$34.55,"$1,255.96","$2,303.50"
Opana ,Oxymorphone HCl ,1,"$1,275,492.23","134,132","1,240",317,$9.21,"$1,028.62","$4,023.63"
Opana ER ,Oxymorphone HCl ,1,"$145,329,807.87","15,449,479","252,585","39,838",$9.09,$575.37,"$3,648.02"
Opdivo ,Nivolumab ,1,"$26,217,053.56","104,565","2,968",544,$250.64,"$8,833.24","$48,193.11"
Opium Tincture ,Opium Tincture ,3,"$5,132,873.15","1,434,203","11,658","2,903",$3.55,$440.29,"$1,768.13"
Opsumit ,Macitentan ,1,"$343,677,461.83","1,320,709","43,812","5,338",$260.22,"$7,844.37","$64,383.19"
Oracea ,Doxycycline Monohydrate ,1,"$6,783,105.80","350,024","8,001","2,207",$19.38,$847.78,"$3,073.45"
Oracit ,Citric Acid/Sodium Citrate ,1,"$6,472.57","183,176",190,57,$0.04,$34.07,$113.55
Orap ,Pimozide ,1,"$490,695.52","233,675","3,697",758,$2.07,$132.73,$647.36
Orencia ,Abatacept ,1,"$185,560,929.36","206,767","47,107","6,916",$897.44,"$3,939.14","$26,830.67"
Orencia ,Abatacept/Maltose ,1,"$22,475,178.58","26,627","7,623","1,162",$844.07,"$2,948.34","$19,341.81"
Orenitram ER ,Treprostinil Diolamine ,1,"$81,755,415.90","1,606,157","12,471",929,$42.85,"$6,555.64","$88,003.68"
Orkambi ,Lumacaftor/IVacaftor ,1,"$78,435,999.74","436,878","3,884",520,$179.54,"$20,194.64","$150,838.46"
Orphenadrine Citrate ,Orphenadrine Citrate ,6,"$2,751,134.22","4,466,360","105,120","53,599",$0.93,$26.17,$51.33
Orsythia ,Levonorgestrel-Ethin Estradiol ,1,"$188,276.39","353,416","8,792","1,796",$0.53,$21.41,$104.83
Ortho Micronor ,Norethindrone ,1,"$10,943.94","8,037",163,54,$1.36,$67.14,$202.67
Ortho Tri-Cyclen ,Norgestimate-Ethinyl Estradiol ,1,"$21,820.69","15,764",351,109,$1.38,$62.17,$200.19
Ortho Tri-Cyclen Lo ,Norgestimate-Ethinyl Estradiol ,1,"$216,676.56","42,182","1,169",344,$5.14,$185.35,$629.87
Ortho-Cyclen ,Norgestimate-Ethinyl Estradiol ,1,"$14,022.96","10,094",220,59,$1.39,$63.74,$237.68
Ortho-Novum ,Norethindrone-Ethinyl Estrad ,1,"$18,477.22","9,968",246,43,$1.80,$75.11,$429.70
Oscimin ,Hyoscyamine Sulfate ,1,"$4,723.56","15,968",230,126,$0.30,$20.54,$37.49
Oscimin Sl ,Hyoscyamine Sulfate ,1,"$7,526.67","27,170",371,221,$0.28,$20.29,$34.06
Oseni ,Alogliptin Benz/Pioglitazone ,1,"$5,788,790.98","495,053","12,126","3,098",$11.69,$477.39,"$1,868.56"
Osmoprep ,"Sod Phosphate Mbas/Na Phos,Di- ",1,"$965,720.28","170,929","5,325","5,178",$5.65,$181.36,$186.50
Otezla ,Apremilast ,1,"$162,941,142.64","3,792,891","60,289","11,661",$42.97,"$2,702.67","$13,973.17"
Otrexup ,Methotrexate/PF ,1,"$3,698,570.96","10,319","5,221","1,084",$358.41,$708.40,"$3,411.97"
Oxacillin ,Oxacillin In Dextrose(Iso-Osm) ,1,"$223,486.08","519,358",281,84,$0.43,$795.32,"$2,660.55"
Oxacillin Sodium ,Oxacillin Sodium ,3,"$1,732,302.57","988,755","2,374",542,$2.23,$729.70,"$3,196.13"
Oxaliplatin ,Oxaliplatin ,5,"$2,677,113.63","45,352","1,402",362,$385.65,"$1,909.50","$7,395.34"
Oxandrolone ,Oxandrolone ,3,"$4,111,505.49","491,840","7,417","1,369",$8.87,$554.34,"$3,003.29"
Oxaprozin ,Oxaprozin ,5,"$7,524,022.61","5,108,824","62,703","19,867",$1.47,$119.99,$378.72
Oxazepam ,Oxazepam ,3,"$4,762,858.71","6,300,052","87,468","16,322",$0.75,$54.45,$291.81
Oxcarbazepine ,Oxcarbazepine ,10,"$44,926,907.80","98,753,473","1,103,133","162,588",$0.45,$40.73,$276.32
Oxistat ,Oxiconazole Nitrate ,1,"$3,218,998.52","252,989","4,606","2,863",$12.75,$698.87,"$1,124.34"
Oxsoralen-Ultra ,Methoxsalen ,1,"$404,968.43","5,528",153,64,$73.26,"$2,646.85","$6,327.63"
Oxtellar XR ,Oxcarbazepine ,1,"$8,526,985.57","869,752","12,492","2,049",$9.85,$682.60,"$4,161.54"
Oxybutynin Chloride ,Oxybutynin Chloride ,8,"$87,892,582.18","231,955,150","2,654,881","640,012",$0.39,$33.11,$137.33
Oxybutynin Chloride ER ,Oxybutynin Chloride ,8,"$140,656,229.54","127,469,516","2,774,808","608,116",$1.11,$50.69,$231.30
Oxycodone HCl ,Oxycodone HCl ,22,"$239,629,507.25","740,765,094","7,365,952","1,473,239",$0.31,$32.53,$162.65
Oxycodone HCl ER ,Oxycodone HCl ,5,"$88,269,179.96","12,301,380","185,196","48,620",$6.50,$476.63,"$1,815.49"
Oxycodone HCl-Aspirin ,Oxycodone HCl/Aspirin ,3,"$578,438.67","809,871","8,206","1,790",$0.71,$70.49,$323.15
Oxycodone HCl-Ibuprofen ,Ibuprofen/Oxycodone HCl ,1,"$17,060.10","17,129",238,85,$1.00,$71.68,$200.71
Oxycodone-Acetaminophen ,Oxycodone HCl/Acetaminophen ,11,"$437,825,703.88","820,560,980","10,195,889","2,813,866",$0.50,$42.94,$155.60
Oxycontin ,Oxycodone HCl ,1,"$882,221,778.36","100,945,621","1,561,305","227,708",$8.10,$565.05,"$3,874.36"
Oxymorphone HCl ,Oxymorphone HCl ,6,"$13,419,524.63","5,929,830","58,779","10,617",$2.22,$228.30,"$1,263.97"
Oxymorphone HCl ER ,Oxymorphone HCl ,2,"$52,273,674.97","9,522,207","152,748","24,174",$5.29,$342.22,"$2,162.39"
Oxytrol ,Oxybutynin ,1,"$7,902,367.43","138,684","11,970","3,487",$56.98,$660.18,"$2,266.24"
Ozurdex ,Dexamethasone ,1,"$216,329.10",161,133,83,"$1,343.66","$1,626.53","$2,606.37"
PEG 3350-Electrolyte ,"PEG3350/Sod Sulf,Bicarb,Cl/KCl ",1,"$1,527,392.61","625,804,910","153,870","147,170",$0.00,$9.93,$10.38
PEG 3350-Electrolyte ,Sodium Chloride/NaHCO3/KCl/PEG ,1,"$3,469,893.93","899,763,573","223,043","215,330",$0.00,$15.56,$16.11
PEG-3350 And Electrolytes ,"PEG3350/Sod Sulf,Bicarb,Cl/KCl ",1,"$1,804,811.25","567,980,239","139,580","132,314",$0.00,$12.93,$13.64
PEG-3350 With Flavor Packs ,Sodium Chloride/NaHCO3/KCl/PEG ,1,"$34,653.76","8,391,354","2,066","2,006",$0.00,$16.77,$17.28
PEGanone ,Ethotoin ,1,"$298,830.42","142,400",717,76,$2.10,$416.78,"$3,931.98"
PEGasys ,PEGinterferon Alfa-2a ,1,"$6,405,399.65","5,073","1,660",288,"$1,413.79","$3,858.67","$22,240.97"
PEGasys Proclick ,PEGinterferon Alfa-2a ,1,"$611,907.52",328,131,27,"$1,870.33","$4,671.05","$22,663.24"
PNV 29-1 ,"Prenatal Vit #76/Iron,Carb/FA ",1,"$3,513.20","8,000",173,96,$0.44,$20.31,$36.60
PNV-DHA ,PNV Combo#47/Iron/FA #1/DHA ,1,"$85,617.32","55,996","1,296",438,$1.53,$66.06,$195.47
PNV-Select ,"Prenatal,Calc.40/Iron/Folate 1 ",1,"$43,705.18","21,936",471,161,$1.99,$92.79,$271.46
Pacerone ,Amiodarone HCl ,1,"$7,291,864.06","2,537,252","52,461","21,298",$2.86,$139.00,$342.37
Paclitaxel ,Paclitaxel ,3,"$148,755.50","95,698","1,442",441,$1.55,$103.16,$337.31
Paliperidone ER ,Paliperidone ,3,"$152,752,466.99","6,796,125","202,817","30,316",$22.76,$753.15,"$5,038.67"
Pamelor ,Nortriptyline HCl ,1,"$2,085,989.91","64,626",868,150,$32.48,"$2,403.21","$13,906.60"
Pamidronate Disodium ,Pamidronate Disodium ,2,"$22,637.28","7,454",561,175,$3.50,$40.35,$129.36
Pancreaze ,Lipase/Protease/Amylase ,1,"$10,336,186.82","3,107,176","13,130","3,212",$3.00,$787.22,"$3,217.99"
"Pancrelipase 5,000 ",Lipase/Protease/Amylase ,1,"$866,230.09","1,007,906","2,806","1,352",$0.86,$308.71,$640.70
Panretin ,Alitretinoin ,1,"$847,644.05","9,540",148,59,$88.85,"$5,727.32","$14,366.85"
Pantoprazole Sodium ,Pantoprazole Sodium ,21,"$183,780,910.37","792,619,088","14,776,535","3,312,686",$0.23,$12.44,$55.48
Paregoric ,Paregoric ,1,"$291,430.30","553,931","1,283",449,$0.53,$227.15,$649.07
Paricalcitol ,Paricalcitol ,4,"$18,548,172.38","2,823,759","83,103","18,139",$6.50,$223.19,"$1,022.56"
Parnate ,Tranylcypromine Sulfate ,1,"$976,775.48","153,718",750,108,$6.35,"$1,302.37","$9,044.22"
Paroex ,Chlorhexidine Gluconate ,1,"$73,023.91","6,720,552","12,233","7,113",$0.01,$5.97,$10.27
Paromomycin Sulfate ,Paromomycin Sulfate ,2,"$127,114.43","33,587",525,421,$3.78,$242.12,$301.93
Paroxetine Cr ,Paroxetine HCl ,1,"$990,415.60","279,573","6,301","3,142",$3.54,$157.18,$315.22
Paroxetine ER ,Paroxetine HCl ,1,"$27,918,458.98","7,635,140","149,821","28,842",$3.66,$186.35,$967.98
Paroxetine HCl ,Paroxetine HCl ,12,"$52,619,400.33","228,682,704","4,696,687","844,954",$0.23,$11.20,$62.27
Pataday ,Olopatadine HCl ,1,"$156,740,122.64","2,443,335","861,841","259,583",$64.15,$181.87,$603.82
Patanase ,Olopatadine HCl ,1,"$788,647.20","97,569","2,639","1,145",$8.08,$298.84,$688.77
Patanol ,Olopatadine HCl ,1,"$12,458,288.06","273,234","49,826","21,588",$45.60,$250.04,$577.09
Paxil ,Paroxetine HCl ,1,"$4,988,038.95","2,387,621","16,234","2,984",$3.98,$307.26,"$1,671.59"
Paxil Cr ,Paroxetine HCl ,1,"$2,873,291.12","512,335","9,254","1,457",$5.61,$310.49,"$1,972.06"
Pazeo ,Olopatadine HCl ,1,"$40,646,328.96","657,102","239,153","97,452",$61.86,$169.96,$417.09
Pedvaxhib ,Haemph B Polysac Conj-Menin/PF ,1,"$19,158.47",219,359,312,$87.48,$53.37,$61.41
Pen Needle ,"Pen Needle, Diabetic ",9,"$2,638,401.11","14,320,538","137,009","57,129",$0.18,$19.26,$46.18
Pen Needles ,"Pen Needle, Diabetic ",4,"$2,912,989.32","9,604,955","84,308","28,190",$0.30,$34.55,$103.33
Penicillin G Potassium ,Penicillin G Potassium ,2,"$733,345.80","282,379",997,339,$5.71,$735.55,"$2,163.26"
Penicillin G Sodium ,Penicillin G Sodium ,1,"$229,282.17","74,714",233,80,$3.07,$984.04,"$2,866.03"
Penicillin Gk-Iso-Osm Dextrose ,Pen G Pot/Dextrose-Water ,1,"$175,253.69","892,517",427,142,$0.20,$410.43,"$1,234.18"
Penicillin V Potassium ,Penicillin V Potassium ,6,"$6,303,963.96","24,590,604","733,675","566,173",$0.26,$8.59,$11.13
Penlac ,Ciclopirox ,1,"$93,230.18","1,129",157,83,$82.61,$593.82,"$1,123.26"
Pennsaid ,Diclofenac Sodium ,2,"$64,492,774.86","3,879,048","29,802","15,055",$16.62,"$2,164.04","$4,283.81"
Pentam 300 ,Pentamidine Isethionate ,1,"$8,813.36",57,52,20,$154.62,$169.49,$440.67
Pentasa ,Mesalamine ,1,"$95,503,243.88","21,944,700","89,975","18,159",$4.44,"$1,061.44","$5,259.28"
Pentazocine-Naloxone HCl ,Pentazocine HCl/Naloxone HCl ,2,"$2,588,988.70","1,448,504","14,784","3,810",$1.79,$175.12,$679.52
Pentoxifylline ,Pentoxifylline ,6,"$9,882,887.83","43,948,577","460,787","98,122",$0.22,$21.45,$100.72
Pepcid ,Famotidine ,1,"$761,058.31","59,783",801,249,$12.82,$950.14,"$3,056.46"
Percocet ,Oxycodone HCl/Acetaminophen ,1,"$43,993,028.84","3,054,624","26,002","4,097",$14.23,"$1,691.91","$10,737.86"
Perforomist ,Formoterol Fumarate ,1,"$12,246,078.51","1,680,398","17,693","3,893",$7.29,$692.14,"$3,145.67"
Perindopril Erbumine ,Perindopril Erbumine ,4,"$1,168,401.17","2,077,026","29,317","6,351",$0.56,$39.85,$183.97
Periogard ,Chlorhexidine Gluconate ,1,"$91,244.73","7,710,631","12,483","8,053",$0.01,$7.31,$11.33
Perjeta ,Pertuzumab ,1,"$4,478,732.91","14,142",924,144,$316.70,"$4,847.11","$31,102.31"
Permethrin ,Permethrin ,3,"$22,041,618.11","18,727,137","267,910","179,046",$1.18,$82.27,$123.11
Perphenazine ,Perphenazine ,3,"$26,807,809.25","19,870,204","297,663","36,993",$1.36,$90.06,$724.67
Perphenazine-Amitriptyline ,Perphenazine/Amitriptyline HCl ,1,"$4,161,853.38","3,129,643","39,401","7,147",$1.34,$105.63,$582.32
Pertzye ,Lipase/Protease/Amylase ,1,"$1,725,159.86","445,321","1,080",334,$3.87,"$1,597.37","$5,165.15"
Pexeva ,Paroxetine Mesylate ,1,"$1,655,189.97","152,481","3,380",561,$10.88,$489.70,"$2,950.43"
Pfizerpen ,Penicillin G Potassium ,2,"$802,572.20","1,027,673","2,751",780,$0.79,$291.74,"$1,028.94"
Phenadoz ,Promethazine HCl ,1,"$2,775,616.92","375,009","21,333","14,280",$7.41,$130.11,$194.37
Phenazopyridine HCl ,Phenazopyridine HCl ,4,"$1,573,781.37","819,782","44,043","33,418",$1.93,$35.73,$47.09
Phenelzine Sulfate ,Phenelzine Sulfate ,2,"$1,417,648.38","2,339,952","16,308","2,611",$0.61,$86.93,$542.95
Phenergan ,Promethazine HCl ,1,"$7,076.52","2,628",168,128,$2.69,$42.12,$55.29
Phenobarbital ,Phenobarbital ,5,"$27,656,634.40","70,617,039","643,740","72,826",$0.51,$42.96,$379.76
Phenobarbital Sodium ,Phenobarbital Sodium ,1,"$84,822.36","3,074",151,73,$29.79,$561.74,"$1,161.95"
Phenoxybenzamine HCl ,Phenoxybenzamine HCl ,2,"$10,919,637.76","119,812","1,274",331,$91.10,"$8,571.14","$32,989.84"
Phenylephrine HCl ,Phenylephrine HCl ,1,"$123,709.07","9,049","4,390","4,147",$13.67,$28.18,$29.83
Phenytek ,Phenytoin Sodium Extended ,1,"$1,575,246.77","939,205","21,023","3,743",$1.73,$74.93,$420.85
Phenytoin ,Phenytoin ,7,"$9,251,964.75","45,239,794","244,241","30,066",$0.29,$37.88,$307.72
Phenytoin Sodium ,Phenytoin Sodium ,1,"$10,621.14","29,198",277,47,$0.36,$38.34,$225.98
Phenytoin Sodium Extended ,Phenytoin Sodium Extended ,7,"$54,040,795.21","175,612,224","1,354,250","196,771",$0.31,$39.90,$274.64
Philith ,Norethindrone-Ethinyl Estrad ,1,"$9,587.75","11,620",308,59,$0.83,$31.13,$162.50
Phoslo ,Calcium Acetate ,1,"$6,969.75","10,342",57,34,$0.67,$122.28,$204.99
Phoslyra ,Calcium Acetate ,1,"$1,832,313.00","8,286,125","6,331","2,145",$0.22,$289.42,$854.23
Phospha 250 Neutral ,"Sod Phos Di, Mono/K Phos Mono ",1,"$794,173.28","2,237,832","22,130","6,455",$0.35,$35.89,$123.03
Phosphasal ,Meth/Meblue/Sod Phos/Psal/Hyos ,1,"$28,893.19","9,494",164,108,$3.04,$176.18,$267.53
Phospholine Iodide ,Echothiophate Iodide ,1,"$385,508.88","21,249","3,949",678,$18.14,$97.62,$568.60
Picato ,Ingenol Mebutate ,1,"$10,868,717.45","36,487","12,305","9,756",$304.77,$883.28,"$1,114.05"
Pilocarpine HCl ,Pilocarpine HCl ,5,"$32,388,671.76","23,920,189","308,626","84,213",$2.46,$104.94,$384.60
Pimozide ,Pimozide ,1,"$1,164,069.99","709,130","9,352","1,942",$1.61,$124.47,$599.42
Pimtrea ,Desog-E.Estradiol/E.Estradiol ,1,"$45,667.20","51,492","1,396",277,$0.89,$32.71,$164.86
Pindolol ,Pindolol ,2,"$4,965,261.23","5,321,046","63,341","12,328",$0.92,$78.39,$402.76
Pioglitazone HCl ,Pioglitazone HCl ,14,"$59,970,837.06","138,091,445","2,556,599","525,399",$0.43,$23.46,$114.14
Pioglitazone-Glimepiride ,Pioglitazone HCl/Glimepiride ,2,"$4,583,879.13","444,807","8,463","2,065",$10.29,$541.64,"$2,219.80"
Pioglitazone-Metformin ,Pioglitazone HCl/Metformin HCl ,5,"$24,952,778.87","13,823,205","135,602","28,771",$1.80,$184.01,$867.29
Piperacillin-Tazobactam ,Piperacillin Sodium/Tazobactam ,10,"$9,615,224.68","11,826,258","51,288","17,123",$0.95,$187.48,$561.54
Pirmella ,Norethindrone-Ethinyl Estrad ,1,"$27,401.81","66,864","1,659",322,$0.41,$16.52,$85.10
Piroxicam ,Piroxicam ,3,"$8,507,228.76","5,862,796","108,194","36,075",$1.45,$78.63,$235.82
Plaquenil ,Hydroxychloroquine Sulfate ,1,"$1,634,204.02","268,209","3,751","1,392",$6.09,$435.67,"$1,174.00"
Plavix ,Clopidogrel Bisulfate ,1,"$19,998,342.68","3,162,638","66,650","12,408",$6.34,$300.05,"$1,611.73"
Plegridy ,PEGinterferon Beta-1a ,1,"$12,290,711.96","2,127","1,802",304,"$5,778.01","$6,820.59","$40,429.97"
Plegridy Pen ,PEGinterferon Beta-1a ,1,"$68,045,241.41","11,762","10,111","1,537","$5,785.15","$6,729.82","$44,271.46"
Pletal ,Cilostazol ,1,"$34,604.47","19,553",237,120,$1.77,$146.01,$288.37
Podofilox ,Podofilox ,2,"$341,067.01","21,213","5,533","3,626",$16.08,$61.64,$94.06
Polycin ,Bacitracin/Polymyxin B Sulfate ,1,"$85,160.22","17,325","4,775","3,051",$4.92,$17.83,$27.91
Polyethylene Glycol 3350 ,Polyethylene Glycol 3350 ,4,"$83,179,486.87","1,857,151,415","3,872,606","1,287,145",$0.17,$21.48,$64.62
Polymyxin B Sul-Trimethoprim ,Polymyxin B Sulf/Trimethoprim ,4,"$2,959,525.53","3,524,465","350,657","299,791",$0.84,$8.44,$9.87
Polymyxin B Sulfate ,Polymyxin B Sulfate ,3,"$280,161.98","1,483,574","3,358",986,$0.19,$83.43,$284.14
Polytrim ,Polymyxin B Sulf/Trimethoprim ,1,"$14,809.48","2,337",236,224,$6.34,$62.75,$66.11
Pomalyst ,Pomalidomide ,1,"$476,650,240.39","755,623","36,819","6,611",$630.80,"$12,945.77","$72,099.57"
Portia ,Levonorgestrel-Ethin Estradiol ,1,"$69,431.99","149,952","3,820",722,$0.46,$18.18,$96.17
Potassium Acetate ,Potassium Acetate ,1,"$5,051.33","59,817",150,17,$0.08,$33.68,$297.14
Potassium Bicarbonate ,Potassium Bicarbonate/Cit Ac ,1,"$14,919.78","55,487","1,015",435,$0.27,$14.70,$34.30
Potassium Chl-Normal Saline ,Potassium Chloride In 0.9%NaCl ,2,"$49,446.99","6,648,567","1,050",290,$0.01,$47.09,$170.51
Potassium Chloride ,Pot Chloride/Pot Bicarb/Cit Ac ,1,"$106,809.10","103,089","1,608",653,$1.04,$66.42,$163.57
Potassium Chloride ,Potassium Chloride ,25,"$436,884,130.70","1,111,066,568","14,509,795","3,058,387",$0.40,$30.11,$142.85
Potassium Chloride-NaCl ,Potassium Chloride-0.45% NaCl ,2,"$10,661.97","1,679,154",353,153,$0.01,$30.20,$69.69
Potassium Citrate ER ,Potassium Citrate ,3,"$67,100,243.93","51,117,084","383,056","92,514",$1.33,$175.17,$725.30
Potassium Citrate-Citric Acid ,Potassium Citrate/Citric Acid ,2,"$113,511.72","1,205,450","1,491",478,$0.20,$76.13,$237.47
Potassium Phosphate ,"Potassium Phos,M-Basic-D-Basic ",1,"$7,264.46","118,136",65,11,$0.06,$111.76,$660.41
Potiga ,Ezogabine ,1,"$3,220,530.75","385,569","3,305",312,$9.22,$974.44,"$10,322.21"
Pradaxa ,Dabigatran Etexilate Mesylate ,1,"$606,673,362.96","110,735,990","1,298,824","229,083",$5.48,$467.09,"$2,648.27"
Praluent Pen ,Alirocumab ,1,"$95,262,978.39","167,940","77,539","15,087",$567.25,"$1,228.58","$6,314.24"
Pramipexole Dihydrochloride ,Pramipexole Di-HCl ,11,"$42,837,397.99","145,294,290","1,726,040","322,855",$0.30,$24.82,$132.68
Pramipexole ER ,Pramipexole Di-HCl ,2,"$12,099,665.36","1,112,610","20,273","4,574",$10.87,$596.84,"$2,645.31"
Pramosone ,Hydrocortisone/Pramoxine ,1,"$291,172.86","116,758","1,110",722,$2.59,$262.32,$403.29
Prandimet ,Repaglinide/Metformin HCl ,1,"$144,372.11","26,226",216,78,$5.51,$668.39,"$1,850.92"
